regex,nl
"(([A-Z])|(.)){5,}","lines with a capital or a character, 5 or more times"
"(([A-Z])|([0-9])){7,}",lines containing a capital letter or a number at least 7 times
(dog).*((truck)&([0-9])).*,lines with string 'dog' before string 'truck' and a number
\b([A-Za-z].*[a-z].*)|(dog)\b,lines with words and a letter before a lower-case letter or the string 'dog'
([a-z]).*((dog)|([A-Za-z])|(truck)).*,"lines with lower-case letter before either string 'dog', letter, or string 'truck'"
(\b([AEIOUaeiou])|(dog)\b)*,lines with a vowel or 'dog' zero times
(([A-Z])*)&(([0-9])|(dog)),lines with zero or more of a capital letter and a number or string 'dog'
(([0-9])|(.*dog.*))+,lines with number or containing string 'dog' at least once
"(([AEIOUaeiou]){5,}).*(([A-Za-z])|(dog)).*",lines with 5 or more vowels before a letter or string 'dog'
~((dog)|([0-9])|(.)),"lines without string 'dog', number, character"
((dog).*(truck).*)&(([A-Za-z])*),lines with the string 'dog' before 'truck' and a letter
~(([AEIOUaeiou]).*([A-Za-z]).*),lines having letters that aren't preceded by a vowel
"(([AEIOUaeiou])|(dog)){7,}",Lines containing the word dog 7 times
"(([AEIOUaeiou])|(dog)){7,}",lines with at least 7 of  the string 'dog' or a vowel
~(([0-9])|(dog)|(.)),"lines do not contain a number, the string 'dog', or a character"
.*([A-Za-z])|([0-9])|(.).*,"lines containing either letter, number, or character"
(.).*((dog)&([a-z])&([A-Z])).*,"lines with the string 'dog', a lower-case letter, and a capital letter after a character"
((.*)(dog)).*(~(truck)).*,lines ending with string 'dog' before not the string 'truck'
([AEIOUaeiou]).*(([A-Z])&(.)).*,lines with a capital letter and a character after a vowel
([A-Za-z]).*((.*[0-9].*)+).*,lines with letter before a number at least once
(~(dog))&(.*[0-9].*),lines that don't have the string 'dog' and contain a number
~(([0-9])&([AEIOUaeiou])&([A-Za-z])),lines not having a number or a letter
.*((.*)([A-Za-z]))*.*,"lines which are containing ending with a letter, zero or more times"
(([A-Z])&(.)&(dog)).*(truck).*,"lines with a capital letter, character, and string 'dog' before the string 'truck'"
(([A-Za-z])(.*))&([AEIOUaeiou].*dog.*),lines that begin with a letter and a vowel which precede the string 'dog'
\b~(([AEIOUaeiou]).*([0-9]).*)\b,lines with words and without a vowel before number
"(dog.*[AEIOUaeiou].*){4,}",Items with 'dog' preceding a vowel at least four times.
"((dog){5,}).*([AEIOUaeiou]).*",lines containing 5 or more of the string 'dog' followed by a vowel
([A-Z]).*((.*)([0-9])).*,lines that have a capital letter and end with a number
(dog).*(([a-z])|(truck)).*,lines in which a lower-case letter or the string 'truck' come after the string 'dog'
([A-Z].*[A-Za-z].*).*([0-9]).*,lines with a letter after a capital letter before a number
~((.)&([A-Z])&([a-z])),"lines not containing a character, a capital letter, or a lower-case letter"
"(dog.*truck.*){7,}",lines having the 'dog' string and then the 'truck' string appearing at least 7 times or greater
([A-Z]).*((dog)&([A-Za-z])&([AEIOUaeiou])).*,"lines with a capital letter before 'dog', a letter, and a vowel"
\b([AEIOUaeiou])&(dog)&([A-Z])\b,"lines containing a vowel, the string 'dog', and a capital letter"
.*(([a-z])|(dog))&(truck).*,lines with a lower-case letter or string 'dog' and 'truck'
(~((.*)([0-9]))).*([a-z]).*,Lines that don't end with a number before a lower case letter
"(([A-Z]){2,}).*([AEIOUaeiou]).*",lines with a capital letter at least 2 times prior to a vowel
(.).*(~(([A-Z])&([a-z]))).*,lines with character before not a capital and not a lower-case letter
"([A-Z].*[0-9].*){7,}",lines with 7 or more of a capital letter before number
~(([a-z])&(dog)&(.)),"lines that do not contain any of the following 3 things:  a lower-case letter, the string 'dog', and a character."
~(([0-9])&([AEIOUaeiou])&([A-Z])),"lines with a number, vowel, or capital letter"
((.*)([0-9]))&((dog).*(truck).*),lines ending in a number and string 'dog' before 'truck'
(([a-z])(.*)).*(.).*,lines that start with a lower-case letter and a character
~([0-9].*[A-Za-z].*),Items without a numeral preceding a letter.
(([A-Z])|(dog)|(truck)).*([0-9]).*,"Items with 'dog', 'truck', or an upper case letter preceding a numeral."
.*([A-Z])&([a-z])&([0-9]).*,"lines must have a number, an upper case and a lower case letter"
(([A-Z])*).*((.*)(dog)).*,lines with a capital letter before ending with the string 'dog' at least zero times
(([A-Za-z]).*(dog).*)|((truck)*),lines with a letter before zero or more of the string 'dog' or 'truck'
(\b[A-Za-z].*dog.*\b).*([a-z]).*,lines with words with a letter followed by string 'dog' before lower-case letter
(([A-Z].*[a-z].*)(.*))*,lines starting with zero or more of a capital letter before a lower-case letter
(~(.)).*(([0-9])&(dog)).*,Lines without a character before a number and 'dog'
(.*)((([AEIOUaeiou])+)|([A-Z])),lines ending in vowel or capital letter
(~(.))|(.*[A-Za-z].*),lines not having a character or a letter
(([0-9])|(.)).*(dog).*,lines with number or character before string 'dog'
\b(.).*([A-Za-z]).*\b,lines with words that contain a character followed by a letter
((dog)|([a-z])|(.)).*([A-Z]).*,"lines with the string 'dog', lower-case letter, or character before a capital letter"
"((.*)(dog.*[a-z].*)){4,}",lines ending in 4 or more of the string 'dog' before lower-case letter
(.*)(.*[A-Z].*),lines ending with a capital letter
\b([AEIOUaeiou]).*([A-Z]).*\b,Items with words contating a vowel preceding an upper case letter.
((dog)|([AEIOUaeiou])).*([0-9]).*,"lines containing the string ""dog"" or a number followed by a vowel"
([0-9].*[A-Za-z].*).*([AEIOUaeiou]).*,Items with a numeral preceding a letter preceding a vowel.
((dog)*).*(~(.)).*,lines with 'dog' not before a character
.*(dog)&([AEIOUaeiou])&([A-Za-z]).*,"lines with string 'dog', a vowel, and letter"
(.).*((dog)|([A-Za-z])).*,lines with a character before the string 'dog' or letter
(.*)(\b([0-9])+\b),lines ending with words with number at least once
\b((.*)(.))&([0-9])\b,lines with words ending with character and number
\b.*[A-Za-z].*dog.*.*\b,lines with words with a letter then 'dog'
.*~(([a-z]).*(dog).*).*,lines not containing lower-case letter before string 'dog'
(([a-z])|([0-9])).*([A-Za-z]).*,lines containing a lower-case letter or a number followed by a letter
"((dog).*(truck).*)&(([A-Za-z]){3,})",lines with 3 or more of the string 'dog' before 'truck' and a letter
(.*[A-Za-z].*)|(([A-Z])(.*)),lines which are containing a letter or starting with a capital letter
(([0-9])|(dog))*,lines with only zero or more of a number or string 'dog'
"([a-z]){4,}",lines with a small letters 4 or more times
.*([AEIOUaeiou]).*([A-Za-z]).*.*,lines which have a vowel coming before a letter
"([A-Z].*[a-z].*){2,}",two or more times lines should have a capital letter then a lower cased letter
([A-Za-z]).*(([A-Z])&([0-9])).*,Items with a letter preceding an upper case letter and a numeral.
((dog)|([A-Za-z]))+,Items with a letter or 'dog' at least one time.
.*([A-Z].*dog.*)*.*,Items with an upper case letter preceding 'dog'.
~(([AEIOUaeiou])|([A-Z])|(dog)),"lines that must not have a vowel, a capital letter, or the word 'dog'"
(\b([A-Z])+\b)(.*),lines starting with words with a capital at least once
(dog).*(\b([A-Z])&([A-Za-z])\b).*,lines with string 'dog' before words with a capital and a letter
(.*dog.*)&([A-Za-z].*[A-Z].*),lines with the string 'dog' and letter before a capital letter
(([AEIOUaeiou])&([0-9])).*([A-Z]).*,lines with vowel and number before capital letter
"~(([a-z].*[AEIOUaeiou].*){6,})","lines that do not contain a lower-case letter followed by a vowel, at least 6 times"
"((dog){3,})&(truck.*..*)",lines with 3 or more of the string 'dog' with string 'truck' before a character
(~([A-Za-z]))|(([AEIOUaeiou]).*(dog).*),lines without a letter or vowel before string 'dog'
~((([AEIOUaeiou])+)|([A-Z])),lines without a vowel or with capital letter
\b(.)&([A-Za-z])&([0-9])\b,lines containing words having a character a letter and a number.
(([0-9])&(dog)&([a-z])).*([A-Z]).*,"lines having a number, the string 'dog', a lower-case letter, and a capital letter"
(dog).*(([A-Za-z])|(truck)|(ring)).*,"Lines containing a letter, the string 'truck', or the string 'ring' after the string 'dog'"
~(([A-Z])(.*)),lines not starting in a capital letter
((.)+)&((dog)(.*)),lines with a character at least once and starting with string 'dog'
.*(dog)|([A-Za-z])|(truck).*,"lines that have either a letter, the string 'truck', or the string 'dog'"
((dog)*)|((.*)(truck)),lines with zero or more of the string 'dog' or ending in string 'truck'
"(\b([A-Za-z]){2,}\b)(.*)","lines starting with words with letter, 2 or more times"
(.*)(\b~([A-Z])\b),lines ending with words with not a capital
(dog).*((.*)(([AEIOUaeiou])+)).*,lines with string 'dog' before ending with vowel at least once
(\b([A-Z])|(dog)\b)(.*),lines which are starting with words with a capital letter or the string 'dog'
(([A-Za-z])&([a-z])&(dog)).*([A-Z]).*,"lines with a letter, a lower-case letter, as well as the string 'dog' followed by a capital letter"
(.*)(.*(.).*([0-9]).*.*),lines ending in a character before number
((.)&([A-Za-z])).*([A-Z]).*,lines with a character and letter before a capital letter
(.*[a-z].*)|((dog)|([0-9])|(truck)),"lines which are containing a lower-case letter or either the string 'dog', a number, or the string 'truck'"
.*([a-z])|([AEIOUaeiou]).*,lines containing vowel or lowercase letter
~(([A-Za-z])|(dog)|(.)),"lines that do not have a letter, the word ""dog"", or a character"
\b([a-z])|([AEIOUaeiou])|([A-Z])\b,"lines that have words containing either a vowel, lower-case letter, or a letter in upper case"
.*~(dog.*[A-Z].*).*,a capital letter before lines that are without the string 'dog'
"(([A-Z])|([a-z])){6,}","lines which have a capital letter or a lower-case letter, 6 or more times"
(([a-z])|([0-9]))(.*),lines with a lower-case letter or number
\b([AEIOUaeiou])|(dog)|([A-Z])\b,"lines containing either a vowel, the string 'dog', or a capital letter"
~(.*([A-Za-z])&(dog)&(truck).*),"lines not containing a letter, not the string 'dog' and 'truck'"
(dog.*truck.*)|(([0-9])+),lines with string 'dog' followed by string 'truck' or number at least once
"(dog).*((.*)((truck){6,})).*","lines that end with the string 'dog' followed by the string 'truck', at least 6 times"
\b(dog).*((truck)|([0-9])).*\b,lines containing words with the string 'dog' preceding the string 'truck' or a number
\b([A-Z]).*(.).*\b,lines with words with a capital letter before only a character
(([A-Z])+)|(.*[0-9].*),lines containing a number or with at least one capital letter
((dog)&(truck)).*([AEIOUaeiou]).*,Lines were vowels come after the string 'dog' and the string 'truck'
"(([A-Z])|(.)){4,}",lines with 4 or more capital letters or characters
(.).*((dog)+).*,The 'dog' is the best friend of a man
(~([A-Z])).*((dog)&(truck)).*,Items without an upper case letter preceding 'dog' and 'truck'.
\b.*~([A-Z]).*\b,lines with words that don't have any capital letters
((.)|(dog)).*([0-9]).*,lines with a character or the string 'dog' prior to a number
(.*)(\b([0-9])*\b),"lines ending with words with number, zero or more times"
"([a-z].*[A-Z].*){5,}","lines with lower-case letter followed by a capital, 5 or more times"
".*([A-Z]){5,}.*",lines with only 5 or more capital letters
(([a-z])(.*))&((.*)([A-Z])),lines that start with a lower-case letter and end with an upper-case (or 'capital') letter
((dog.*..*)*)(.*),lines starting with the string 'dog' zero or more times followed by a character
\b((.)(.*))|([0-9])\b,lines with words stating in a character or number
((dog)&([A-Za-z])&([0-9])).*(.).*,"lines with the string 'dog', letter, and number before a character"
((.)|([A-Z])).*([AEIOUaeiou]).*,lines with a character or capital letter before vowel
([A-Z]).*((dog)&([AEIOUaeiou])&(truck)).*,"lines containing a capital letter followed by the string 'dog', a vowel, and the string 'truck'"
((dog)+)|(([A-Za-z])(.*)),"lines containing the string 'dog', 1 or more times or beginning with a letter"
(([A-Za-z])|([a-z])).*([0-9]).*,Items with a letter preceding a numeral.
(.*[A-Za-z].*)|((dog)|([a-z])|(truck)),"Items with 'dog', 'truck', a letter, or a lower case letter"
((dog)&([0-9])).*((.*)([A-Z])).*,lines with the string 'dog' and a number ending with a capital letter
(.*)(\b([0-9])|([a-z])|([A-Za-z])\b),"lines ending with words and a number, lower-case letter, or letter"
\b[a-z].*[0-9].*\b,The lines that have words containing a lower-case letter and then a number
~((.*)([a-z])),lines without only a lower-case letter
\b~([a-z].*dog.*)\b,lines with words that don't have a lower-case letter followed by string 'dog'
"((([A-Z])|([AEIOUaeiou]))(.*)){2,}",lines containing a capital letter and 2 or more vowels
(([AEIOUaeiou]).*([A-Za-z]).*)|(([a-z])&(dog)),lines with a vowel before a letter or a lower-case letter and the string 'dog' in them
\b([A-Z])&((.)+)\b,"lines with words, capital letter, and a character"
"(\b([A-Za-z]).*(dog).*\b){5,}","lines with words with a letter before the string 'dog', 5 or more times in them"
(~([a-z]))|(([A-Za-z])(.*)),lines that do not contain a lower-case letter or begin with a letter
"(([AEIOUaeiou])|([A-Z])){6,}",lines with a vowel or 6 or more capital letters
(.*)(.*[AEIOUaeiou].*),lines ending in and with only a vowel
((.*)([AEIOUaeiou]))&(.*dog.*),lines which end with a vowel and with the string 'dog'
(([A-Za-z])&([A-Z])&(dog)).*(truck).*,Lines containing a letter and the string 'dog' before the string 'truck'.
~(.*..*),character-less lines
([A-Z]).*(([0-9])|([AEIOUaeiou])).*,Items with an upper case letter preceding a vowel or a number.
([0-9].*[A-Za-z].*)+,lines which have at least one occurrence of a number followed by a letter
((.)(.*)).*(dog).*,lines with the string 'dog' after a character
([a-z]).*((dog)&(truck)).*,Items with a small letter preceding 'truck' and 'dog'.
((.*)([0-9])).*(.*[A-Z].*).*,Lines ending with number before containing a capital letter
((.*)([0-9])).*([AEIOUaeiou]).*,letter ending with a vowel after a number
((.*)(.))&((dog)(.*)),lines that end with a character and start with 'dog'
(([a-z])(.*))&(.*[A-Za-z].*),lines starting with a lower-case letter and letter
([A-Z].*..*)|((.*)(dog)),lines with a capital followed by character or ending with string 'dog'
"(([0-9])|([A-Za-z])){6,}",lines with a number 6 times
~((([A-Z])|([AEIOUaeiou]))+),lines without either a capital letter or a vowel
.*\b(dog)*\b.*,lines with words and zero or more of string 'dog'
\b(.*)(([AEIOUaeiou])|([0-9]))\b,lines with words ending in vowel or number
\b((.)(.*))+\b,lines with words that begin with a character
(([0-9])(.*)).*(.).*,lines starting with a character after a number
.*(dog)&([a-z]).*,lines which contain the string 'dog' and a lower-case letter
\b(.)|([A-Z])|([a-z])\b,"lines with words, a character, and a capital or lower case letter"
(([A-Z])&([a-z])&(dog)).*(truck).*,"lines with a capital letter, a lower-case letter, and the string 'dog' before 'truck'"
~(([AEIOUaeiou].*[A-Za-z].*)+),lines not having a vowel followed by a letter at least once in them
(dog).*((.)&(truck)&(ring)).*,"lines with string 'dog' before character, string 'truck', and string 'ring'"
(.*[A-Za-z].*)|((.)&([0-9])&(dog)),"liens with a letter, or a character, number, and 'dog'"
((([A-Za-z]).*([0-9]).*)|(dog))+,"lines with a letter before a number, or at least one 'dog'"
([AEIOUaeiou].*[A-Za-z].*).*([0-9]).*,lines that have a vowel followed by a letter before a number
((.*)(([A-Za-z])|(dog)))*,"lines which are ending with a letter or the string 'dog', zero or more times"
(.*)((([a-z]).*(dog).*)|([AEIOUaeiou])),lines that end with a lower-case letter followed by a vowel or the string 'dog'
(.*)(((dog)&([0-9]))|(.)),lines end with the string 'dog' and either a number or a character
\b([0-9].*dog.*).*(truck).*\b,lines having words containing a number followed by the string 'dog' followed by the string 'truck'
([AEIOUaeiou]).*(([A-Z])&(dog)&(truck)).*,"A vowel appears before a capital letter, the string 'dog' and the string 'truck' in the lines"
"(\b([a-z])(.*)\b){2,}",lines having words beginning with a lower-case letter coming twice or more
((.*)(.)).*([0-9]).*,lines that end with a number after a character
\b([a-z]).*(.).*\b,Items with words containing small letter preceding a character.
.*[AEIOUaeiou].*[A-Z].*.*,Lines with a capital letter after a vowel
~((dog)*),"lines having no string 'dog', zero or more times"
(dog).*([A-Z]).*,"lines containing a capital letter followed by the word ""dog"""
([a-z]).*(([0-9])|(dog)).*,Items with a small letter preceding 'dog' or a numeral.
~(([AEIOUaeiou])&([A-Z])&([a-z])),Items without a vowel or any letter.
(.*)(.*[a-z].*),lines ending with a lower-case letter
\b([A-Z])+\b,Items with words containing an upper case letter at least one time.
(((.)*)|([0-9]))(.*),lines with zero or more characters or a number
(dog).*(([A-Z])&(truck)&([0-9])).*,"lines with 'dog' before a capital letter, then 'truck' and a number"
(.*..*)|(dog.*truck.*),lines with characters or the string 'dog' followed by the string 'truck'
.*\b([A-Z]).*([0-9]).*\b.*,lines containing words with a capital before number
(([A-Z])|([0-9])).*([AEIOUaeiou]).*,"lines with a capital, a number, before a vowel"
(([AEIOUaeiou])|([a-z])|([A-Za-z])).*(.).*,lines with a vowel or letter before a character
.*((dog)*)&(truck).*,lines with zero or more of the string 'dog' and the string 'truck'
([A-Za-z]).*((.*)(.)).*,lines with a letter before they end with a character
(([A-Za-z])&([AEIOUaeiou])).*([0-9]).*,"lines containing a letter, a vowel, and a number"
\b~(dog.*truck.*)\b,lines with words without string 'dog' before 'truck'
~(([A-Z])&([AEIOUaeiou])&([A-Za-z])),"Items without an upper case letter, not a letter nor a vowel."
((dog)|(truck)|([A-Za-z])).*(.).*,lines with the string 'dog' or 'truck' or a letter before a character
\b([0-9])&(dog)&([A-Z])\b,"Items with words contating 'dog', an upper case letter, and a number."
"~(([a-z]){5,})",lines with five or more upper-case letters
(.).*((.*)(dog)).*,lines with a character ending with the string 'dog'
((dog)&([a-z])).*((.*)([AEIOUaeiou])).*,lines which have the string 'dog' and a lower-case letter before ending with a vowel
(([AEIOUaeiou]).*(dog).*)&((.*)([a-z])),lines with a vowel before the string 'dog' and ending in a lower-case letter
((dog)|(~([A-Z])))*,"lines with the string 'dog' or not a capital letter, zero or more times in them"
(.*dog.*).*([a-z]).*,lines containing string 'dog' before lower-case letter
"(.*)(([a-z]){7,})",lines ending with a lower-case letter 7 times
(dog).*((truck)&([0-9])&([AEIOUaeiou])).*,"lines with string 'dog' before string 'truck', number, and vowel"
(.*[A-Za-z].*).*(([0-9])|(dog)).*,liens with a letter before a number or string 'dog'
(([AEIOUaeiou]).*(dog).*)|((truck)*),"lines that contain a vowel followed by the strings 'dog' or 'truck', zero times or more"
\b(.)&((dog)|(truck))\b,lines with words that contain a character or the strings 'dog' or 'truck'
"((dog)&(truck)).*((ring){5,}).*",lines with 5 or more of the string 'dog' and 'truck' before 'ring'
.*((.*)(dog)).*(truck).*.*,lines ending in the string 'dog' before 'truck'
~(([A-Za-z])&(dog)&([0-9])),"lines not having a letter, the string 'dog', or a number"
"(([A-Za-z]){7,}).*([AEIOUaeiou]).*",lines with 7 or more letters before a vowel
((dog)*)&(.*truck.*),"lines with or without the string 'dog', and with the string 'truck'"
((dog)*)&(.*truck.*),Items with 'dog
"([AEIOUaeiou]).*((dog){6,}).*","lines with a vowel before the string 'dog', 6 or more times in them"
"([A-Za-z]).*((.){5,}).*",lines with a character after a letter at least 5 times
"([a-z].*[AEIOUaeiou].*){7,}","lines with a lower-case letter followed by a vowel, 7 or more times in them"
~(\b(.*)([A-Z])\b),lines that do not have words ending in a capital letter
.*([AEIOUaeiou])&(dog)&([a-z]).*,"lines with a vowel, ""dog"", & a small letter"
(((.).*(dog).*)|(truck))(.*),"lines containing a character, followed by the string 'dog' or the string 'truck'"
\b([A-Za-z])&(dog)&([AEIOUaeiou])\b,"lines with words with letter, string 'dog', and a vowel"
(\b([A-Za-z])|([A-Z])\b)+,lines with words and a letter or capital letter
"(([A-Za-z]).*([AEIOUaeiou]).*)|((dog){3,})","lines with a letter before a vowel or the string 'dog', 3 or more times in them"
(([A-Za-z])|([0-9])).*(dog).*,lines that have a letter or a number followed by the string 'dog'
([A-Za-z].*dog.*).*((.)+).*,"lines with a letter followed by the string 'dog' then a character, at least once"
(.*)(([0-9].*[A-Z].*)|(dog)),Lines with a number at the end followed by a capital letter or 'dog'
(..*[a-z].*)*,"any minimum of times , lines should have a character then a lower case letter"
.*([A-Za-z])|([A-Z])|([a-z]).*,Items with any letter.
((.)|([0-9])|([a-z])).*(dog).*,"lines that must have a character, number or lower-case letter before the word ""dog"""
(([A-Za-z])&([AEIOUaeiou])&(.)).*([A-Z]).*,Items with a vowel or letter and a character preceding an upper case letter.
([a-z]).*(~(([A-Za-z])|(.))).*,Items with a small letter preceding a nonletter or character.
.*([a-z]).*(.).*.*,lines containing only a lower-case letter before a character
(([AEIOUaeiou])*).*(([A-Za-z])|(dog)).*,lines with zero or more vowels before a letter or the string 'dog'
\b([AEIOUaeiou])&(dog)&([a-z])\b,"lines with words with a vowel, the string 'dog', and a lower-case letter in it"
.*~(([A-Za-z])|(dog)).*,lines not containing a letter or string 'dog'
(~([A-Z])).*(dog).*,lines without a capital letter before string 'dog'
(([A-Za-z].*dog.*)(.*))+,lines starting in a letter before string 'dog'
(.*)(((dog)|([a-z])|(truck))|(ring)),"lines ending with 'dog', a lower-case, or 'truck', or 'ring'"
"([AEIOUaeiou]).*(([A-Za-z]){7,}).*",lines with 7 or more of a vowel before a letter
(~(dog))|((.*)(truck)),lines that do not contain the string 'dog' or end with the string 'truck'
((.*)([0-9]))|((dog)|(truck)|(ring)),"lines ending in a number or with string 'dog', 'truck', or 'ring'"
dog.*[A-Z].*,lines with the word 'dog' before a capital letter
([0-9]).*([AEIOUaeiou]).*,lines containing a number that precedes a vowel
([A-Za-z].*[A-Z].*)|((dog)+),lines with a letter before a capital letter or the string 'dog'
([0-9]).*(([AEIOUaeiou])|([A-Z])).*,lines that have a number followed by a vowel or capital letter
"((.*)([AEIOUaeiou])){7,}",lines ending in 7 or more vowels
.*(dog)|(truck)|([AEIOUaeiou]).*,"The lines that have either the string 'dog', the string 'truck', or a vowel"
((dog)+).*(.*[a-z].*).*,lines with the string 'dog' before a lower-case letter
(.).*(((.*)([A-Za-z]))*).*,all lines
(~(.)).*((.*)([a-z])).*,lines with no character before lower-case letter
(.*dog.*)&(([0-9])+),lines containing the string 'dog' and a number at least once in them
.*(dog)&([A-Z])&([AEIOUaeiou]).*,"lines containing string 'dog', a capital, and vowel"
((.)|([A-Za-z])|([a-z])).*([AEIOUaeiou]).*,"lines that contain a character, a letter, or lower-case letter followed by a vowel"
.*(.)&([A-Za-z])&(dog).*,"lines with a character, letter, and string 'dog'"
((dog)*).*([A-Z]).*,The only string 'dog' appears zero or more times before a capital letter in the lines
((.*)(dog))|((truck)|(ring)|(lake)),"Lines ending with strings 'dog', or 'truck', 'ring', or 'lake'."
[AEIOUaeiou].*[0-9].*,lines containing a vowel preceding a number
"(([a-z])|(dog)){6,}",lines with 6 or more lower-case letters or the string 'dog'
~((dog)|(truck)|([a-z])),"Items without 'dog', 'truck', or a small letter."
~(([AEIOUaeiou])|(.)|(dog)),"lines without a vowel, character, or 'dog'"
((dog)|(.)|(truck)).*([A-Za-z]).*,"lines with the string 'dog', a character, or the string 'truck' before a letter"
~(((.*)(.))*),lines that do not end with a character at least zero times
.*(dog.*truck.*).*(.).*.*,lines which are containing the string 'dog' followed by the string 'truck' before a character
.*\b[A-Za-z]\b.*,lines which Are containing words that contain only a letter
(([0-9])|(dog)|([AEIOUaeiou])).*(truck).*,"lines having either a number, string 'dog', or a vowel before string 'truck'"
(([A-Za-z])(.*))&((.)+),lines that start with a letter and character
(dog).*((.)|([A-Z])|(truck)).*,"lines with the string 'dog' before a character, capital letter, or string 'truck'"
\b([a-z])|(dog)|([0-9])\b,"lines with words and a lower-case letter, string 'dog', or number"
~(((dog)+)(.*)),lines not starting with at least 1 of the string 'dog'
([A-Z]).*(\bdog.*[a-z].*\b).*,lines with a capital letter before words with string 'dog' before lower-case letter
(((dog)(.*))*).*([AEIOUaeiou]).*,lines starting in zero or more of the string 'dog' before  a vowel
(\b([A-Za-z])|([0-9])|([a-z])\b).*([AEIOUaeiou]).*,lines with words with a letter or number before a vowel
.*([A-Za-z]).*([A-Z]).*.*,lines in which a letter comes before a capital letter
([a-z].*[AEIOUaeiou].*).*(dog).*,lower-case letter-containing lines which then feature a vowel taht's present prior to the 'dog' string
(([A-Za-z])|(.))(.*),lines that being with either a letter or character
([A-Za-z]).*(([A-Z])|(dog)).*,The lines that have a letter coming before either a capital letter or the string 'dog'
(.).*(([A-Za-z])&(dog)).*,lines that have a character preceding a letter and the word 'dog'
(.*)(((dog)|([A-Za-z]))*),lines ending in the string 'dog' or a letter
((.*)(dog)).*(([0-9])|(truck)).*,lines which are ending with the string 'dog' before a number or the string 'truck'
~((dog)|(.)|([A-Z])),"lines that do not have the word 'dog', a capital letter or a character"
(((dog)&([a-z]))|(truck))+,lines with string 'dog' and a lower-case letter or string 'truck' at least once
~(([A-Za-z]).*(([A-Z])*).*),"lines without a letter before a capital letter, zero or more times"
~((.)&(dog)&([a-z])),"lines without characters, lower-case letters, or the string 'dog'"
"((([A-Za-z])(.*))|(dog)){7,}","lines starting with letter or string 'dog', 7 or more times"
"(dog.*[A-Za-z].*){3,}",lines with 3 or more of the string 'dog' before a letter
(dog).*((truck)&(.)&([0-9])).*,"lines with the string 'dog' before string 'truck', character, and number"
(\b(.)*\b)(.*),lines starting in words with zero or more of a character
(([AEIOUaeiou].*[A-Z].*)*)(.*),lines starting in zero or more of a vowel before capital letter
.*([AEIOUaeiou])|([A-Z])|([a-z]).*,"lines containing either a vowel, capital or lower-case letter"
~(([a-z])&(.)),lines with only a lower case letter
(..*[a-z].*).*([A-Z]).*,lines with a character followed by a lower-case letter
([0-9]).*(([A-Z])|(.)).*,lines with number before a capital or character
(.*)(.*([A-Za-z])&([a-z]).*),lines ending with a lower-case letter
((([A-Z])(.*))|(.))+,lines which are starting with a capital letter or a character at least once
"((dog){7,}).*(~([a-z])).*","lines with the string 'dog', 7 or more times"
([AEIOUaeiou]).*(([a-z])|(dog)|([A-Za-z])).*,"lines with a vowel before a lower-case letter, string 'dog', or letter"
.*[A-Z].*[AEIOUaeiou].*.*,lines in which a capital letter is present followed by a vowel.
~((dog).*([AEIOUaeiou]).*),lines containing a vowel that is not preceded by the string 'dog'
(([AEIOUaeiou])|([A-Za-z])|([a-z])).*(dog).*,"Items with either a small letter, a letter, or a vowel preceding 'dog'."
(..*[A-Z].*)(.*),Items beginning with a character preceding an upper case letter.
"(([a-z]){5,}).*(.).*",lines that have 5 or more combinations of a lower-case letter followed by a character
((.*)(.)).*([AEIOUaeiou]).*,lines with with a vowel preceded by a character
((dog)|([0-9])).*([A-Z]).*,lines with the string 'dog' or number before a capital letter
\b([A-Z].*[AEIOUaeiou].*)&([a-z])\b,lines with words with a capital followed by vowel and a lower-case letter
"\b([0-9].*[a-z].*){3,}\b",lines with words with 3 or more of a number before lower-case letter
([AEIOUaeiou]).*(~([0-9])).*,lines that contain a vowel followed by anything other than a number
~((([AEIOUaeiou])|([0-9])|(dog))&([a-z])),"lines without a vowel, a number, or the string 'dog' as well as a lower-case letter"
".*(([a-z]){6,})|(dog).*","lines that contain the string 'dog' or a lower-case letter, at least 6 times"
"([A-Za-z]){2,}",lines containing at least 2 letters
((.)|([a-z])).*(dog).*,Items with a small letter or character preceding 'dog'.
(([a-z])|([AEIOUaeiou])).*([A-Z]).*,Items with a small letter or vowel preceding an upper case letter.
\b((.)+)|([A-Za-z])\b,lines with words with at least one character
\b([AEIOUaeiou])|(.)|(dog)\b,"lines containing the words with a vowel, a character, or the string 'dog'"
(.*)((dog)|(.)),lines ending with the string 'dog' or character
"((dog){3,}).*([0-9]).*",lines having the string 'dog' 3 times or more before the number
"(..*[A-Za-z].*){5,}",lines with 5 or more of a character before a letter
\b(([0-9])&(dog))|(truck)\b,"lines with words, a number, and 'dog' or 'truck'"
(([a-z]).*(dog).*)|((.*)([0-9])),lines with a lower-case letter before the string 'dog' with a number
"(dog.*..*){5,}",lines where 5 or more times a character is preceded by the string 'dog'
\b(dog)|([A-Za-z])|(truck)\b,"lines with the string 'dog', a letter, or the string 'truck'"
\b(.)&([a-z])&(dog)\b,"lines containing a character, a lower-case letter, and the string 'dog'"
(\b[AEIOUaeiou].*[A-Za-z].*\b)(.*),lines stating with words and a vowel before a letter
"(([AEIOUaeiou])|([A-Za-z])){7,}",at least seven times lines with a vowel or any letter
~((dog)|((truck)&([A-Za-z]))),"lines not having the string 'dog', 'truck' and letter"
